ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,LastUpdatedDate,LastUpdatedTime,Timestamp,TrafficLevel,VehicleWeight,DynamicPrice_Model1,DemandScore,NormalizedDemand,DynamicPrice_Model2,DynamicPrice_Model3
0,BHMBCCMKT01,577,26.14453614,91.73617216,61,car,low,1,0,04-10-2016,07:59:00,2016-10-04 07:59:00,1,1.0,10.0,0.6634315424610051,0.13084833873276575,10.654241693663828,11.154241693663828
1,BHMBCCMKT01,577,26.14453614,91.73617216,64,car,low,1,0,04-10-2016,08:25:00,2016-10-04 08:25:00,1,1.0,10.554592720970538,0.6665511265164645,0.13152640699163717,10.657632034958187,11.157632034958187
2,BHMBCCMKT01,577,26.14453614,91.73617216,80,car,low,2,0,04-10-2016,08:59:00,2016-10-04 08:59:00,1,1.0,11.247833622183709,0.9831889081455805,0.2003503352670835,11.001751676335418,10.501751676335418
3,BHMBCCMKT01,577,26.14453614,91.73617216,107,car,low,2,0,04-10-2016,09:32:00,2016-10-04 09:32:00,1,1.0,12.175043327556326,1.011265164644714,0.20645294959692606,11.03226474798463,10.53226474798463
4,BHMBCCMKT01,577,26.14453614,91.73617216,150,bike,low,2,0,04-10-2016,09:59:00,2016-10-04 09:59:00,1,0.5,13.474870017331023,0.8059792027729635,0.1618322911173058,10.80916145558653,11.30916145558653
5,BHMBCCMKT01,577,26.14453614,91.73617216,177,car,low,3,0,04-10-2016,10:26:00,2016-10-04 10:26:00,1,1.0,15.008665511265166,1.384055459272097,0.2874821065320575,11.437410532660287,11.937410532660287
6,BHMBCCMKT01,577,26.14453614,91.73617216,219,truck,high,6,0,04-10-2016,10:59:00,2016-10-04 10:59:00,3,1.5,16.90641247833622,2.1777296360485265,0.4599939727265877,12.299969863632938,11.799969863632938
7,BHMBCCMKT01,577,26.14453614,91.73617216,247,car,average,5,0,04-10-2016,11:25:00,2016-10-04 11:25:00,2,1.0,19.04679376083189,1.85684575389948,0.39024711820989977,11.951235591049498,11.451235591049498
8,BHMBCCMKT01,577,26.14453614,91.73617216,259,cycle,average,5,0,04-10-2016,11:59:00,2016-10-04 11:59:00,2,0.3,20.0,1.5193240901213172,0.3168838996458977,11.584419498229488,12.084419498229488
9,BHMBCCMKT01,577,26.14453614,91.73617216,266,bike,high,8,0,04-10-2016,12:29:00,2016-10-04 12:29:00,3,0.5,20.0,2.326603119584055,0.4923528968582836,12.461764484291418,12.961764484291418
10,BHMBCCMKT01,577,26.14453614,91.73617216,269,car,high,7,0,04-10-2016,13:02:00,2016-10-04 13:02:00,3,1.0,20.0,2.2797227036395147,0.4821630377457997,12.410815188728998,12.910815188728998
11,BHMBCCMKT01,577,26.14453614,91.73617216,263,car,high,7,0,04-10-2016,13:29:00,2016-10-04 13:29:00,3,1.0,20.0,2.2734835355285963,0.4808069012280569,12.404034506140285,12.904034506140285
12,BHMBCCMKT01,577,26.14453614,91.73617216,238,car,high,5,0,04-10-2016,14:02:00,2016-10-04 14:02:00,3,1.0,20.0,1.6474870017331023,0.34474120394786406,11.72370601973932,11.22370601973932
13,BHMBCCMKT01,577,26.14453614,91.73617216,215,truck,average,3,0,04-10-2016,14:29:00,2016-10-04 14:29:00,2,1.5,20.0,1.4735701906412477,0.3069388985157839,11.534694492578918,11.034694492578918
14,BHMBCCMKT01,577,26.14453614,91.73617216,192,bike,average,3,0,04-10-2016,14:57:00,2016-10-04 14:57:00,2,0.5,20.0,0.9496533795493932,0.19306110148421604,10.965305507421078,11.465305507421078
15,BHMBCCMKT01,577,26.14453614,91.73617216,165,car,low,2,0,04-10-2016,15:30:00,2016-10-04 15:30:00,1,1.0,20.0,1.07157712305026,0.21956226926843966,11.0978113463422,11.5978113463422
